Date,Steps,Total Floors,Floors Ascended
2/15/15,4836,0
2/14/15,6622,0
2/13/15,9412,0
2/12/15,7495,0
2/11/15,10738,0
2/10/15,3182,0
2/9/15,2833,0
2/8/15,3793,0
2/7/15,5791,0
2/6/15,8262,0
2/5/15,8387,0
2/4/15,9611,0
2/3/15,9347,0
2/2/15,7983,0
2/1/15,2314,0
1/31/15,2384,0
1/30/15,7733,0
1/29/15,4699,0
1/28/15,10060,0
1/27/15,7828,0
1/26/15,10885,0
1/25/15,9780,0
1/24/15,2356,0
1/23/15,2554,0
1/22/15,4108,0
1/21/15,2669,0
1/20/15,2531,0
1/19/15,3383,0
1/18/15,3471,0
1/17/15,3239,0
1/16/15,3190,0
1/15/15,2293,0
1/14/15,2102,0
1/13/15,6530,0
1/12/15,2947,0
1/11/15,1223,0
1/10/15,4856,0
1/9/15,2071,0
1/8/15,4171,0
1/7/15,2534,0
1/6/15,2531,0
1/5/15,2649,0
1/4/15,1584,0
1/3/15,3195,0
1/2/15,7070,0
1/1/15,5454,0
12/31/14,2446,0
12/30/14,4195,0
12/29/14,2881,0
12/28/14,2887,0
12/27/14,611,0
12/26/14,0,0
12/25/14,4778,0
12/24/14,5765,0
12/23/14,2188,0
12/22/14,3073,0
12/21/14,4337,0
12/20/14,2594,0
12/19/14,2867,0
12/18/14,1855,0
12/17/14,4127,0
12/16/14,1495,0
12/15/14,10748,0
12/14/14,3845,0
12/13/14,2360,0
12/12/14,1874,0
12/11/14,2649,0
12/10/14,2332,0
12/9/14,7839,0
12/8/14,1958,0
12/7/14,1504,0
12/6/14,4385,0
12/5/14,10576,0
12/4/14,8363,0
12/3/14,4250,0
12/2/14,1735,0
12/1/14,2411,0
11/30/14,4370,0
11/29/14,3302,0
11/28/14,1757,0
11/27/14,1103,0
11/26/14,2698,0
11/25/14,2493,0
11/24/14,1829,0
11/23/14,1368,0
11/22/14,4985,0
11/21/14,4438,0
11/20/14,2068,0
11/19/14,8285,0
11/18/14,5315,0
11/17/14,2281,0
11/16/14,1000,0
11/15/14,11008,0
11/14/14,5566,0
11/13/14,3272,0
11/12/14,6374,0
11/11/14,2071,0
11/10/14,2574,0
11/9/14,2079,0
